Country;1989;1994;1999;2004;2009;2014;2019
Belgium;90.73;90.66;91.05;90.81;90.39;89.64;88.47
Denmark;46.17;52.92;50.46;47.89;59.54;56.32;66.08
Germany;62.28;60.02;45.19;43.00;43.27;48.10;61.38
Ireland;68.28;43.98;50.21;58.58;58.64;52.44;49.70
France;48.80;52.71;46.76;42.76;40.63;42.43;50.12
Italy;81.07;73.60;69.76;71.72;66.47;57.22;54.50
Luxembourg;87.39;88.55;87.27;91.35;90.76;85.55;84.24
Netherlands;47.48;35.69;30.02;39.26;36.75;37.32;41.93
United Kingdom;36.37;36.43;24.00;38.52;34.70;35.60;37.18
Greece;80.03;73.18;70.25;63.22;52.54;59.97;58.69
Spain;54.71;59.14;63.05;45.14;44.87;43.81;60.73
Portugal;51.10;35.54;39.93;38.60;36.77;33.67;30.75
Sweden;;41.63;38.84;37.85;45.53;51.07;55.27
Austria;;67.73;49.40;42.43;45.97;45.39;59.80
Finland;;57.60;30.14;39.43;38.60;39.10;40.80
Czechia;;;;28.30;28.22;18.20;28.72
Estonia;;;;26.83;43.90;36.52;37.60
Cyprus;;;;72.50;59.40;43.97;44.99
Lithuania;;;;48.38;20.98;47.35;53.48
Latvia;;;;41.34;53.70;30.24;33.53
Hungary;;;;38.50;36.31;28.97;43.36
Malta;;;;82.39;78.79;74.80;72.70
Poland;;;;20.87;24.53;23.83;45.68
Slovenia;;;;28.35;28.37;24.55;28.89
Slovakia;;;;16.97;19.64;13.05;22.74
Bulgaria;;;;29.22;38.99;35.84;32.64
Romania;;;;29.47;27.67;32.44;51.20
Croatia;;;;;20.84;25.24;29.85